trials,size,time
1000, 100000, 0.002346247999867046
1100, 100000, 0.0025629550000303425
1200, 100000, 0.0028486590003922174
1300, 100000, 0.0030335420001392777
1400, 100000, 0.0033348549995935173
1500, 100000, 0.0034806140001819585
1600, 100000, 0.0037178869997660513
1700, 100000, 0.0039368140000988205
1800, 100000, 0.004233777000081318
1900, 100000, 0.004386325000268698
2000, 100000, 0.004666514999826177
2100, 100000, 0.004873137999766186
2200, 100000, 0.005156044000159454
2300, 100000, 0.005408129999977973
2400, 100000, 0.006491725999694609
2500, 100000, 0.0058154130001639714
2600, 100000, 0.006028734999745211
2700, 100000, 0.006247841999993398
2800, 100000, 0.006497877999663615
2900, 100000, 0.00675907200002257
3000, 100000, 0.006977065000228322
3100, 100000, 0.007728646000032313
3200, 100000, 0.008682090000093012
3300, 100000, 0.008386221999899135
3400, 100000, 0.0084697449997293
3500, 100000, 0.008240693000061583
3600, 100000, 0.00842327500004103
3700, 100000, 0.008700407999640447
3800, 100000, 0.009247136999874783
3900, 100000, 0.009174927000003663
4000, 100000, 0.0097541570003159
4100, 100000, 0.009465496999837342
4200, 100000, 0.009837820000029751
4300, 100000, 0.010030345000359375
4400, 100000, 0.010363914000208752
4500, 100000, 0.010396921999927144
4600, 100000, 0.010804456000187201
4700, 100000, 0.01091827700020076
4800, 100000, 0.011131580999972357
4900, 100000, 0.011348079000072175
5000, 100000, 0.011629632999756723
5100, 100000, 0.011885420999988128
5200, 100000, 0.012104468999950768
5300, 100000, 0.012526223999884678
5400, 100000, 0.012506743999892933
5500, 100000, 0.0127722479996919
5600, 100000, 0.01304488300002049
5700, 100000, 0.013570827999956236
5800, 100000, 0.01367726299986316
5900, 100000, 0.013969917999929748
6000, 100000, 0.013898728999720333
6100, 100000, 0.014218918000096892
6200, 100000, 0.014379877999999735
6300, 100000, 0.014687033999962296
6400, 100000, 0.015161661000092863
6500, 100000, 0.015369729000212828
6600, 100000, 0.015428839000378503
6700, 100000, 0.015827193000404804
6800, 100000, 0.016200519999983953
6900, 100000, 0.016237909000210493
7000, 100000, 0.01633058000015808
7100, 100000, 0.016941918000156875
7200, 100000, 0.017030037000040466
7300, 100000, 0.01776520100020207
7400, 100000, 0.017177976999846578
7500, 100000, 0.01749429199981023
7600, 100000, 0.01766863100010596
7700, 100000, 0.01797060099988812
7800, 100000, 0.01828660499995749
7900, 100000, 0.019097161999980017
8000, 100000, 0.0185897040000782
8100, 100000, 0.019491691999974137
8200, 100000, 0.01942284300002939
8300, 100000, 0.019507221999901958
8400, 100000, 0.019660637000015413
8500, 100000, 0.01996216599991385
8600, 100000, 0.019961013000283856
8700, 100000, 0.020235249000052136
8800, 100000, 0.020417924000412313
8900, 100000, 0.021112145999722998
9000, 100000, 0.02080621200002497
9100, 100000, 0.021295403999829432
9200, 100000, 0.021271339999657357
9300, 100000, 0.021879374000036478
9400, 100000, 0.022291779999704886
9500, 100000, 0.022736784999779047
9600, 100000, 0.023613507999925787
9700, 100000, 0.022944981999899028
9800, 100000, 0.022891635000178212
9900, 100000, 0.023185217999980523
1000, 110000, 0.0023478530001739273
1100, 110000, 0.002581481000106578
1200, 110000, 0.0028009259999635105
1300, 110000, 0.0030603710001742
1400, 110000, 0.0037099199998920085
1500, 110000, 0.003506508000100439
1600, 110000, 0.003720807999798126
1700, 110000, 0.00415798599988193
1800, 110000, 0.004261255000074016
1900, 110000, 0.004431394000221189
2000, 110000, 0.004689674000019295
2100, 110000, 0.005062619000000268
2200, 110000, 0.005113767000239022
2300, 110000, 0.005362412000067707
2400, 110000, 0.0055916300002536445
2500, 110000, 0.005762348999724054
